checkingstatus,duration,history,purpose,amount,savings,employ,installment,status,others,residence,property,age,otherplans,housing,cards,job,liable,telephone,foreign,outcome
... >= 200 DM / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car (new),1343,... < 100 DM,.. >= 7 years,1,male : single,others - none,4,real estate,> 25 years,none,own,2,skilled employee / official,2,phone - none,foreign - no,1
... < 0 DM,28,existing credits paid back duly till now,car (new),4006,... < 100 DM,1 <= ... < 4 years,3,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,1,unskilled - resident,1,phone - none,foreign - yes,2
no checking account,24,existing credits paid back duly till now,radio/television,2284,... < 100 DM,4 <= ... < 7 years,4,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,24,existing credits paid back duly till now,radio/television,1533,... < 100 DM,... < 1 year,4,female : divorced/separated/married,others - none,3,"car or other, not in attribute 6",> 25 years,stores,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,12,existing credits paid back duly till now,car (new),1101,... < 100 DM,1 <= ... < 4 years,3,male : married/widowed,others - none,2,real estate,> 25 years,none,own,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,60,critical account/ other credits existing (not at this bank),car (new),13756,unknown/ no savings account,.. >= 7 years,2,male : single,others - none,4,unknown / no property,> 25 years,bank,for free,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1
... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),4716,unknown/ no savings account,... < 1 year,1,male : single,others - none,3,real estate,> 25 years,none,own,2,unskilled - resident,2,phone - none,foreign - yes,1
... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,1881,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,others - none,2,"car or other, not in attribute 6",> 25 years,none,rent,1,unskilled - resident,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,24,delay in paying off in the past,car (new),2032,... < 100 DM,.. >= 7 years,4,male : single,others - none,4,unknown / no property,> 25 years,none,for free,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,36,existing credits paid back duly till now,car (new),3079,unknown/ no savings account,1 <= ... < 4 years,4,male : single,others - none,4,real estate,> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1382,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,others - none,1,"car or other, not in attribute 6",> 25 years,none,own,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
... >= 200 DM / salary assignments for at least 1 year,12,all credits at this bank paid back duly,business,609,... < 100 DM,... < 1 year,4,female : divorced/separated/married,others - none,1,real estate,> 25 years,none,own,1,unemployed/ unskilled - non-resident,1,phone - none,foreign - yes,2
0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,983,.. >= 1000 DM,... < 1 year,1,female : divorced/separated/married,others - none,4,real estate,<= 25 years,none,rent,1,unskilled - resident,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,6361,... < 100 DM,.. >= 7 years,2,male : single,others - none,1,unknown / no property,> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,21,critical account/ other credits existing (not at this bank),furniture/equipment,2288,... < 100 DM,... < 1 year,4,female : divorced/separated/married,others - none,4,building society savings agreement/ life insurance,<= 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
0 <= ... < 200 DM,42,critical account/ other credits existing (not at this bank),business,5954,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,others - none,1,real estate,> 25 years,bank,own,2,unskilled - resident,1,phone - none,foreign - yes,1
no checking account,18,existing credits paid back duly till now,furniture/equipment,2515,... < 100 DM,1 <= ... < 4 years,3,male : single,others - none,4,real estate,> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,11,existing credits paid back duly till now,business,2142,.. >= 1000 DM,.. >= 7 years,1,male : divorced/separated,others - none,2,real estate,> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),radio/television,1154,... < 100 DM,.. >= 7 years,2,male : single,others - none,4,real estate,> 25 years,none,own,3,unskilled - resident,1,phone - none,foreign - yes,1
