customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn_rate,CLTV,ChurnReason,Count,Country,State,City,ZipCode,LatLong,Latitude,Longitude,Age,Under30,Married,ReferredaFriend,NumberofReferrals,Offer,AvgMonthlyLongDistanceCharges,AvgMonthlyGBDownload,StreamingMusic,PremiumTechSupport,UnlimitedData,TotalRefunds,TotalExtraDataCharges,TotalLongDistanceCharges,TotalRevenue,SatisfactionScore,CustomerStatus,ChurnCategory
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,3239,Competitor made better offer,1,United States,California,Los Angeles,90003,"33.964131, -118.272783",33.964131,-118.272783,37,No,No,No,0,None,10.47,21,No,No,Yes,0,0,20.94,129.09,1,Churned,Competitor
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,2701,Moved,1,United States,California,Los Angeles,90005,"34.059281, -118.30742",34.059281,-118.30742,19,Yes,No,No,0,None,9.12,51,No,No,Yes,0,0,18.24,169.89,2,Churned,Other
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,5372,Moved,1,United States,California,Los Angeles,90006,"34.048013, -118.293953",34.048013,-118.293953,31,No,No,No,0,None,12.15,26,Yes,No,Yes,0,0,97.2,917.7,3,Churned,Other
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,5003,Moved,1,United States,California,Los Angeles,90010,"34.062125, -118.315709",34.062125,-118.315709,23,Yes,Yes,No,0,Offer C,4.89,47,Yes,Yes,Yes,0,0,136.92,3182.97,3,Churned,Other
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,5340,Competitor had better devices,1,United States,California,Los Angeles,90015,"34.039224, -118.266293",34.039224,-118.266293,38,No,No,No,0,None,44.33,11,Yes,No,Yes,0,0,2172.17,7208.47,1,Churned,Competitor
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,5925,Competitor offered higher download speeds,1,United States,California,Los Angeles,90020,"34.066367, -118.309868",34.066367,-118.309868,21,Yes,Yes,Yes,6,None,9.41,69,No,Yes,Yes,0,0,94.1,622.45,1+AX7,Churned,Competitor
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,5433,Competitor offered more data,1,United States,California,Los Angeles,90022,"34.02381, -118.156582",34.02381,-118.156582,78,No,No,No,0,None,0,8,No,No,No,0,20,0,59.65,3,Churned,Competitor
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,4832,Competitor made better offer,1,United States,California,Los Angeles,90024,"34.066303, -118.435479",34.066303,-118.435479,29,Yes,No,No,0,None,33.58,0,No,No,No,0,0,33.58,53.73,1,Churned,Competitor
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,5789,Competitor had better devices,1,United States,California,Los Angeles,90028,"34.099869, -118.326843",34.099869,-118.326843,61,No,Yes,Yes,1,None,31.35,16,Yes,No,Yes,0,0,1473.45,6222.6,1,Churned,Competitor
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,2915,Competitor had better devices,1,United States,California,Los Angeles,90029,"34.089953, -118.294824",34.089953,-118.294824,27,Yes,Yes,Yes,1,None,0,58,No,No,Yes,0,0,0,30.2,1,Churned,Competitor
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,3022,Competitor offered higher download speeds,1,United States,California,Los Angeles,90032,"34.078821, -118.177576",34.078821,-118.177576,20,Yes,No,No,0,None,40.55,41,Yes,No,Yes,0,0,689.35,1782.45,1,Churned,Competitor
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,2454,Competitor offered higher download speeds,1,United States,California,Los Angeles,90039,"34.110845, -118.259595",34.110845,-118.259595,56,No,No,No,0,None,12.6,58,No,No,Yes,0,0,63,379.9,1,Churned,Competitor
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,2941,Competitor offered higher download speeds,1,United States,California,Los Angeles,90041,"34.137412, -118.207607",34.137412,-118.207607,51,No,No,No,0,Offer C,21.69,28,Yes,No,Yes,0,0,737.46,4286.71,2,Churned,Competitor
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,5674,Competitor offered more data,1,United States,California,Los Angeles,90042,"34.11572, -118.192754",34.11572,-118.192754,48,No,No,No,0,None,27.57,18,Yes,No,Yes,0,0,303.27,1408.67,3,Churned,Competitor
