sepal_length,sepal_width,petal_length,petal_width,species
7.9,3.8,6.4,2.0,2
7.6,3.0,6.6,2.1,2
6.1,2.8,4.0,1.3,1
4.3,3.0,1.1,0.1,0
6.3,3.3,6.0,2.5,2
5.0,2.0,3.5,1.0,1
5.1,3.4,1.5,0.2,0
5.2,2.7,3.9,1.4,1
6.9,3.2,5.7,2.3,2
6.2,3.4,5.4,2.3,2
7.2,3.0,5.8,1.6,2
5.7,2.9,4.2,1.3,1
4.8,3.4,1.6,0.2,0
5.5,2.6,4.4,1.2,1
5.4,3.0,4.5,1.5,1
5.0,3.2,1.2,0.2,0
5.4,3.7,1.5,0.2,0
6.0,3.0,4.8,1.8,2
5.7,4.4,1.5,0.4,0
6.3,2.5,5.0,1.9,2
5.2,3.5,1.5,0.2,0
5.8,2.8,5.1,2.4,2
6.8,3.2,5.9,2.3,2
6.4,2.9,4.3,1.3,1
6.5,3.2,5.1,2.0,2
