State Code,Claim Amount,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy,Claim Reason,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
NE,387.3647046,Basic,College,Retired,M,28142,Suburban,Married,105,18,50,0,1,Personal L3,Hail,Agent,701.7082389999998,Sports Car,Medsize
IA,1212.836511,Basic,College,Employed,F,20495,Suburban,Married,61,7,36,0,2,Personal L3,Hail,Agent,292.8,Four-Door Car,Medsize
IA,800.0545061,Basic,Master,Employed,F,63834,Rural,Married,100,23,19,1,3,Personal L3,Other,Agent,215.226476,Sports Car,Small
MO,795.6150058999998,Basic,Master,Employed,F,44818,Rural,Divorced,67,25,41,1,2,Personal L3,Collision,Web,136.883999,Two-Door Car,Medsize
NE,234.7591802,Basic,High School or Below,Unemployed,M,0,Suburban,Single,69,14,10,1,1,Personal L3,Collision,Branch,757.8911400000002,Four-Door Car,Medsize
OK,389.50347660000006,Premium,Bachelor,Employed,M,52361,Suburban,Single,102,13,78,0,1,Personal L3,Scratch/Dent,Agent,645.952371,Four-Door Car,Medsize
IA,580.2065977999998,Basic,College,Employed,M,97541,Suburban,Married,72,22,1,0,3,Personal L3,Hail,Call Center,389.185006,Four-Door Car,Large
IA,286.6779811,Basic,High School or Below,Employed,M,81763,Suburban,Married,72,22,12,1,1,Personal L3,Hail,Branch,518.4,Two-Door Car,Small
IA,970.9746073,Extended,College,Unemployed,M,0,Suburban,Married,133,11,30,0,7,Corporate L3,Collision,Agent,827.085431,SUV,Small
MO,239.7036098,Basic,High School or Below,Retired,F,22283,Suburban,Divorced,65,16,93,0,1,Corporate L3,Collision,Branch,572.072106,Four-Door Car,Medsize
MO,942.9629367,Basic,Master,Employed,F,43811,Suburban,Married,117,24,10,0,4,Personal L3,Collision,Web,571.136574,Sports Car,Small
OK,2053.439224,Extended,High School or Below,Unemployed,M,0,Suburban,Single,93,24,25,0,2,Special L3,Scratch/Dent,Agent,669.6,Four-Door Car,Small
IA,1908.834203,Basic,College,Employed,F,32775,Urban,Divorced,61,10,73,0,2,Personal L1,Collision,Branch,251.886847,Four-Door Car,Small
NE,1626.558682,Extended,Bachelor,Employed,F,85322,Suburban,Married,134,32,55,0,2,Personal L3,Collision,Agent,735.491986,SUV,Medsize
MO,808.2880956,Basic,College,Employed,M,53554,Suburban,Married,67,6,5,0,2,Personal L2,Collision,Agent,327.020539,Four-Door Car,Large
NE,619.9962422,Extended,College,Unemployed,F,0,Suburban,Single,84,31,61,0,3,Personal L3,Collision,Agent,604.8,Two-Door Car,Small
NE,498.361893,Extended,College,Unemployed,M,0,Suburban,Single,83,22,0,3,5,Personal L3,Collision,Agent,736.00483,Four-Door Car,Small
MO,222.7072755,Basic,High School or Below,Retired,M,27972,Suburban,Married,61,7,38,0,1,Personal L3,Scratch/Dent,Web,292.8,Four-Door Car,Medsize
MO,1867.785248,Extended,College,Unemployed,M,0,Suburban,Married,86,17,14,0,2,Personal L2,Collision,Agent,538.649619,Four-Door Car,Medsize
IA,450.24087710000015,Basic,College,Unemployed,M,0,Suburban,Single,67,15,4,0,4,Personal L3,Hail,Branch,499.590386,Two-Door Car,Medsize
MO,3151.65084,Extended,College,Unemployed,M,0,Suburban,Married,125,23,4,0,2,Corporate L3,Scratch/Dent,Branch,626.411563,SUV,Medsize
MO,245.35707940000003,Basic,Bachelor,Medical Leave,M,29735,Suburban,Single,69,3,92,0,1,Personal L2,Collision,Agent,331.2,Four-Door Car,Medsize
MO,604.7025160000002,Extended,College,Employed,M,20396,Suburban,Married,76,15,60,1,4,Personal L3,Collision,Branch,364.8,Four-Door Car,Medsize
KS,373.1504584,Extended,High School or Below,Unemployed,F,0,Suburban,Married,96,31,34,0,1,Personal L2,Collision,Agent,460.8,Four-Door Car,Large
MO,816.0689782000002,Basic,High School or Below,Unemployed,F,0,Suburban,Married,109,15,61,0,7,Personal L1,Collision,Web,523.2,SUV,Medsize
NE,1427.455485,Extended,High School or Below,Unemployed,M,0,Suburban,Single,84,35,42,0,2,Personal L1,Other,Call Center,604.8,Four-Door Car,Medsize
