State Code,Claim Amount,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy,Claim Reason,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
KS,276.3519279,Basic,Bachelor,Employed,F,56274,Suburban,Married,69,32,5,0,1,Corporate L3,Collision,Agent,384.811147,Two-Door Car,Medsize
NE,697.9535903,Extended,Bachelor,Unemployed,F,0,Suburban,Single,94,13,42,0,8,Personal L3,Scratch/Dent,Agent,1131.464935,Four-Door Car,Medsize
OK,1288.743165,Premium,Bachelor,Employed,F,48767,Suburban,Married,108,18,38,0,2,Personal L3,Collision,Agent,566.4722469999998,Two-Door Car,Medsize
MO,764.5861827,Basic,Bachelor,Unemployed,M,0,Suburban,Married,106,18,65,0,7,Corporate L2,Collision,Call Center,529.881344,SUV,Medsize
KS,281.3692575,Basic,Bachelor,Employed,M,43836,Rural,Single,73,12,44,0,1,Personal L1,Collision,Agent,138.130879,Four-Door Car,Medsize
IA,825.62978,Basic,Bachelor,Employed,F,62902,Rural,Married,69,14,94,0,2,Personal L3,Hail,Web,159.383042,Two-Door Car,Medsize
IA,538.0898636,Basic,College,Employed,F,55350,Suburban,Married,67,0,13,0,9,Corporate L3,Collision,Agent,321.6,Four-Door Car,Medsize
NE,721.6100311,Premium,Master,Unemployed,M,0,Urban,Single,101,0,68,0,4,Corporate L3,Collision,Agent,363.02968,Four-Door Car,Medsize
IA,2412.750402,Basic,Bachelor,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Corporate L3,Collision,Agent,511.2,Four-Door Car,Medsize
IA,738.8178085,Extended,College,Employed,F,28812,Urban,Married,93,17,7,0,8,Special L2,Hail,Branch,425.527834,Four-Door Car,Medsize
MO,473.8992022,Basic,College,Unemployed,M,0,Suburban,Single,67,23,5,0,3,Personal L3,Collision,Agent,482.4,Four-Door Car,Small
MO,819.7197077999998,Basic,College,Unemployed,F,0,Suburban,Married,110,27,87,0,3,Personal L3,Hail,Agent,528.0,SUV,Medsize
MO,879.8797002999999,Premium,Master,Employed,M,77026,Urban,Married,110,9,82,2,3,Corporate L1,Hail,Agent,472.029737,Four-Door Car,Medsize
NE,881.9018934000002,Basic,High School or Below,Employed,M,99845,Suburban,Married,110,23,25,1,8,Corporate L3,Hail,Branch,528.0,SUV,Medsize
MO,538.4431665,Basic,College,Employed,M,83689,Urban,Single,70,21,10,2,8,Corporate L3,Other,Call Center,307.139132,Four-Door Car,Medsize
IA,746.3139377,Basic,Bachelor,Employed,F,24599,Rural,Married,64,12,50,1,2,Corporate L2,Hail,Branch,42.920271,Four-Door Car,Medsize
OK,256.6867823,Basic,High School or Below,Medical Leave,M,25049,Suburban,Married,67,14,7,0,1,Personal L3,Hail,Call Center,454.245098,Two-Door Car,Medsize
MO,394.5241604,Basic,College,Medical Leave,M,28855,Suburban,Married,101,12,59,0,1,Personal L2,Scratch/Dent,Call Center,647.4420309999998,SUV,Medsize
IA,571.0333115,Basic,College,Employed,M,51148,Urban,Married,72,9,1,0,7,Personal L2,Hail,Branch,308.981664,Four-Door Car,Medsize
MO,816.2617052999999,Premium,High School or Below,Employed,F,66140,Suburban,Married,101,11,21,0,3,Corporate L2,Collision,Call Center,484.8,Four-Door Car,Small
